NUTS315CD,NUTS315NM,NUTS318CD,NUTS318NM,Column4,Column5,Column6,Column7,Column8,Column9,FID
UKF13,South and West Derbyshire,UKF13,South and West Derbyshire,,,,,,,165
UKF14,Nottingham,UKF14,Nottingham,,,,,,,166
UKF15,North Nottinghamshire,UKF15,North Nottinghamshire,,,,,,,167
UKF16,South Nottinghamshire,UKF16,South Nottinghamshire,,,,,,,168
UKF21,Leicester,UKF21,Leicester,,,,,,,169
UKF22,Leicestershire CC and Rutland,UKF22,Leicestershire CC and Rutland,,,,,,,170
UKF24,West Northamptonshire,UKF24,West Northamptonshire,,,,,,,171
UKF25,North Northamptonshire,UKF25,North Northamptonshire,,,,,,,172
UKF30,Lincolnshire,UKF30,Lincolnshire,,,,,,,173
UKG11,"Herefordshire, County of",UKG11,"Herefordshire, County of",,,,,,,174
UKG12,Worcestershire,UKG12,Worcestershire,,,,,,,175
UKG13,Warwickshire,UKG13,Warwickshire,,,,,,,176
UKG21,Telford and Wrekin,UKG21,Telford and Wrekin,,,,,,,177
UKG22,Shropshire CC,UKG22,Shropshire CC,,,,,,,178
UKG23,Stoke-on-Trent,UKG23,Stoke-on-Trent,,,,,,,179
UKG24,Staffordshire CC,UKG24,Staffordshire CC,,,,,,,180
UKG31,Birmingham,UKG31,Birmingham,,,,,,,181
UKG32,Solihull,UKG32,Solihull,,,,,,,182
UKG33,Coventry,UKG33,Coventry,,,,,,,183
UKG36,Dudley,UKG36,Dudley,,,,,,,184
UKG37,Sandwell,UKG37,Sandwell,,,,,,,185
UKG38,Walsall,UKG38,Walsall,,,,,,,186
UKG39,Wolverhampton,UKG39,Wolverhampton,,,,,,,187
