postcode_district,population
ME18,"6,803"
ME19,"21,797"
ME2,"39,529"
ME20,"20,645"
ME3,"26,184"
ME4,"30,191"
ME5,"51,409"
ME6,"10,211"
ME7,"51,775"
ME8,"49,214"
ME9,"20,553"
MK1,585
MK10,"13,825"
MK11,"7,736"
MK12,"12,492"
MK13,"18,860"
MK14,"18,700"
MK15,"7,205"
MK16,"18,500"
MK17,"17,229"
MK18,"30,663"
MK19,"11,258"
MK2,"14,316"
MK3,"22,625"
MK4,"21,867"
MK40,"31,009"
MK41,"42,537"
MK42,"44,558"
MK43,"32,983"
MK44,"15,317"
MK45,"43,049"
MK46,"9,126"
MK5,"15,438"
MK6,"28,113"
MK7,"14,559"
MK8,"12,062"
MK9,"3,366"
N1,"91,056"
N10,"27,992"
N11,"29,879"
N12,"28,898"
N13,"31,783"
N14,"29,956"
N15,"43,718"
N16,"68,567"
N17,"63,538"
N18,"31,742"
N19,"33,752"
N2,"23,968"
N20,"19,024"
N21,"23,500"
N22,"42,851"
N3,"26,534"
N4,"47,291"
N5,"24,287"
N6,"19,474"
N7,"48,157"
N8,"40,037"
N9,"52,193"
NE1,"9,051"
NE10,"36,221"
NE11,"16,459"
NE12,"35,096"
NE13,"12,851"
NE15,"32,691"
NE16,"25,674"
NE17,"4,669"
NE18,927
NE19,"2,273"
NE2,"29,529"
NE20,"11,873"
NE21,"17,276"
NE22,"17,884"
NE23,"39,233"
NE24,"38,076"
NE25,"29,808"
NE26,"19,326"
NE27,"12,024"
NE28,"44,749"
NE29,"35,613"
NE3,"53,050"
NE30,"22,333"
NE31,"20,130"
NE32,"25,389"
NE33,"27,069"
NE34,"52,479"
NE35,"6,428"
NE36,"6,854"
NE37,"21,056"
NE38,"31,101"
NE39,"8,575"
NE4,"37,437"
NE40,"15,635"
NE41,"2,197"
NE42,"12,607"
NE43,"4,523"
NE44,966
NE45,"3,672"
NE46,"15,537"
NE47,"7,917"
NE48,"4,294"
NE49,"4,344"
NE5,"49,103"
NE6,"51,027"
NE61,"31,269"
NE62,"9,636"
NE63,"27,789"
NE64,"6,308"
NE65,"20,764"
NE66,"17,590"
NE67,834
NE68,"1,959"
NE69,414
NE7,"15,468"
NE70,"1,754"
NE71,"2,949"
NE8,"33,430"
NE9,"37,508"
NG1,"12,897"
NG10,"46,649"
NG11,"37,499"
NG12,"33,165"
NG13,"21,384"
NG14,"19,439"
NG15,"40,698"
NG16,"63,551"
NG17,"72,786"
NG18,"41,526"
NG19,"52,276"
NG2,"58,609"
NG20,"26,190"
NG21,"22,181"
NG22,"26,293"
NG23,"17,245"
NG24,"44,805"
NG25,"8,913"
NG3,"48,188"
NG31,"44,341"
NG32,"12,428"
NG33,"9,859"
NG34,"41,202"
NG4,"40,835"
NG5,"87,555"
NG6,"37,485"
NG7,"58,012"
NG8,"63,961"
NG9,"73,213"
NN1,"29,834"
NN10,"38,231"
NN11,"37,442"
NN12,"23,027"
NN13,"18,728"
NN14,"43,269"
NN15,"33,965"
NN16,"30,143"
NN17,"26,709"
NN18,"32,911"
NN2,"38,139"
NN29,"11,520"
NN3,"68,586"
NN4,"46,714"
NN5,"38,050"
NN6,"33,324"
NN7,"27,299"
NN8,"49,047"
NN9,"26,277"
NR1,"24,791"
NR10,"22,812"
NR11,"17,681"
NR12,"20,435"
NR13,"26,689"
NR14,"23,747"
NR15,"15,806"
NR16,"11,953"
NR17,"15,772"
NR18,"17,556"
NR19,"20,359"
NR2,"25,951"
NR20,"19,331"
NR21,"15,815"
NR22,819
NR23,"3,009"
NR24,"4,462"
NR25,"8,878"
NR26,"8,299"
NR27,"11,733"
NR28,"17,532"
NR29,"19,924"
NR3,"32,971"
NR30,"30,701"
NR31,"49,914"
NR32,"38,657"
NR33,"39,467"
NR34,"22,269"
NR35,"10,894"
NR4,"21,522"
NR5,"29,288"
NR6,"23,908"
NR7,"31,811"
NR8,"20,486"
NR9,"16,845"
NW1,"60,339"
NW10,"91,997"
NW11,"32,684"
NW2,"66,968"
NW3,"51,891"
NW4,"31,932"
NW5,"31,125"
NW6,"63,903"
NW7,"25,670"
NW8,"34,353"
NW9,"60,545"
OL1,"21,480"
OL10,"27,794"
OL11,"45,812"
OL12,"45,667"
OL13,"15,099"
OL14,"15,481"
OL15,"14,461"
OL16,"37,825"
OL2,"42,349"
OL3,"14,997"
OL4,"45,060"
OL5,"10,921"
OL6,"28,793"
OL7,"16,763"
OL8,"39,046"
OL9,"41,285"
OX1,"25,623"
OX10,"26,363"
OX11,"33,102"
OX12,"25,264"
OX13,"13,459"
OX14,"44,510"
OX15,"18,099"
OX16,"46,853"
OX17,"16,975"
OX18,"25,301"
OX2,"39,695"
OX20,"4,734"
OX25,"9,619"
OX26,"33,494"
OX27,"6,517"
OX28,"27,522"
OX29,"23,060"
OX3,"43,437"
OX33,"7,623"
OX39,"6,881"
OX4,"61,972"
OX44,"8,307"
OX49,"4,324"
OX5,"23,419"
OX7,"22,852"
OX9,"13,822"
PE1,"49,173"
PE10,"21,906"
PE11,"43,230"
PE12,"39,782"
PE13,"34,893"
PE14,"20,803"
PE15,"29,915"
PE16,"10,453"
PE19,"43,968"
PE2,"44,540"
PE20,"13,986"
PE21,"42,787"
PE22,"16,919"
PE23,"8,507"
PE24,"11,830"
PE25,"21,638"
PE26,"11,945"
PE27,"20,015"
PE28,"47,574"
PE29,"29,782"
PE3,"28,897"
PE30,"43,989"
PE31,"20,003"
PE32,"15,294"
PE33,"15,945"
